identif,probabl action,plan,natur,machin,allow,judea pearl,schein,best perform,linguist,satisfact problem,predecessor,joint confer artifici,mateo,pari,search space,approxim reason,graph,lauritzen,depict figur,gregori,comput scienc engin,classic,diagnost,equat model,jensen jensen,resourc,tree,state,reason intellig morgan,direct edg,intuit,spirt glymour schein,bound,glymour schein,san mateo,san,heurist,expect,machin learn,air,search,interpret,ross shachter,david heckerman,learn,veri,achiev,data,infer bayesian,california,descend,network figur,medicin,weiss,impact,constraint,assign,elimin,subgraph,box,schein causat,schein causat predict,attach,agent,belief propag,intern confer machin,toronto,idea,probabl tabl,real-valu,anytim,optim,structur,optim polici,press new,schuurman,set variabl,comput probabl,action state,rockwel,iff,onlin,befor,ucla,microsoft research,thing,informat,academ,problem instanc,singl,microsoft,expect reward,evid,scienc foundat,morgan,constraint satisfact,diseas,everi,knowledg,network node,bayesian,contribut paper,ordin,school comput,approxim infer,causat,min,identifi,benchmark,workshop uncertainti,decis process,finit,academ press,general belief,follow proposit,margin,instanc,patient,cach,transit state,gradient,influenc diagram,search algorithm,scienc center,yield,cooper,averag run,valu function,select action,network artifici,time,set state,publish,support nsf,node network,everi state,verma pearl,therebi,node path,develop,enter,state transit,joint confer,structur follow,scheme,logic,plausibl,intellig morgan,propag algorithm,comput scienc,observ data,explic,unobserv,carri,probabilist infer belief,standard,laboratori,lauritzen spiegelhalt,scienc foundat grant,infer belief network,cours,time second,lemma,action,experiment evalu,action select,given network,smaller,paramet,termin,potenti,condit independ,foundat grant,preliminari,dawid,psycholog,bayesian belief,deduct,upper bound,integ,counterpart,reward function,model reason,includ,russel,charact,evid set,norm,experi,set action,adapt,support,press new york,belief-network,noisy-or,real-lif,pool,qualiti,usa,approxim optim,aaai,end end,function approxim,d-separ,set function,propos,decis analysi,infer bayesian network,partial observ,intellig morgan kaufmann,intern joint confer,correspond valu,wors,transit probabl,choos,nation scienc,continu,acycl,arc,averag,unfortun,variabl appear,task,observ variabl,explor,network artifici intellig,order magnitud,littman,import sampl,prune,high,exponenti,converg,scienc depart,probabl evid,vertic,morgan kaufmann,goldman,approxim posterior,chicker,distribut state,appendix,arrow,elsevi scienc,posterior,accur,zhang,exact,max min,game,network given,certain,let let,approxim,tri,futur,expect valu,condit probabl tabl,infer algorithm,reduc,run,loss,comput scienc depart,input,solut,way,furthermor,uncertain,techniqu,aistat,direct acycl,latent variabl,nation scienc foundat,uncertainti artifici,theoret result,leaf node,intern journal,expand,regret,uncertainti,qualit,markov,primit,menlo park,menlo,bayesian infer,knowledg base,proceed intern confer,graph set,program use,challeng,competit,doe,present,model causal,figur figur,let,uniform,finit set,community
zero,zero,baixo,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,zero,zero,baixo,zero,zero,zero,alto,zero,baixo,alto,baixo,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,baixo,zero,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,alto,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,alto,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,baixo,zero,zero,zero,zero,alto,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,baixo,baixo,baixo,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,alto,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,zero,alto,zero,baixo,baixo,zero,zero,zero,zero,baixo,alto,baixo,zero,baixo,zero,zero,zero,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,baixo,zero,baixo,zero,baixo,zero,zero,zero,alto,alto,baixo,zero,baixo,zero,baixo,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,baixo,104
zero,zero,zero,alto,baixo,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,baixo,baixo,zero,alto,zero,zero,zero,zero,baixo,baixo,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,baixo,alto,zero,zero,zero,baixo,zero,zero,zero,baixo,alto,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,baixo,zero,zero,baixo,zero,zero,baixo,baixo,zero,baixo,zero,zero,baixo,baixo,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,baixo,baixo,zero,zero,zero,zero,zero,baixo,baixo,alto,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,alto,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,baixo,zero,zero,156
baixo,zero,baixo,baixo,baixo,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,baixo,zero,zero,alto,alto,baixo,alto,zero,zero,baixo,baixo,zero,alto,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,zero,zero,baixo,zero,baixo,baixo,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,baixo,baixo,zero,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,zero,baixo,baixo,zero,zero,alto,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,alto,zero,zero,baixo,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,alto,baixo,alto,baixo,baixo,baixo,baixo,104
zero,zero,baixo,baixo,baixo,baixo,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,baixo,zero,baixo,baixo,zero,zero,zero,baixo,zero,zero,zero,alto,baixo,baixo,zero,zero,baixo,zero,baixo,zero,baixo,alto,alto,alto,baixo,zero,alto,baixo,zero,zero,alto,zero,zero,alto,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,alto,zero,baixo,zero,zero,zero,alto,alto,baixo,zero,baixo,zero,alto,alto,zero,zero,baixo,zero,alto,zero,zero,zero,zero,zero,baixo,alto,baixo,zero,zero,zero,zero,zero,zero,alto,alto,zero,zero,zero,zero,zero,alto,zero,zero,baixo,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,baixo,zero,zero,zero,baixo,zero,zero,baixo,baixo,zero,zero,zero,baixo,alto,baixo,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,alto,zero,baixo,alto,zero,zero,baixo,baixo,alto,zero,baixo,zero,zero,zero,alto,baixo,zero,zero,zero,zero,alto,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,baixo,alto,baixo,zero,zero,alto,baixo,baixo,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,baixo,zero,zero,baixo,baixo,zero,153
zero,zero,zero,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,alto,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,alto,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,alto,baixo,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,alto,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,alto,baixo,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,alto,zero,baixo,zero,alto,zero,baixo,zero,zero,zero,zero,alto,alto,zero,baixo,baixo,baixo,alto,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,alto,baixo,zero,6
zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,alto,zero,baixo,zero,zero,zero,baixo,baixo,zero,baixo,zero,baixo,zero,zero,zero,alto,zero,baixo,zero,zero,zero,zero,zero,zero,alto,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,baixo,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,alto,alto,6
zero,zero,baixo,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,baixo,zero,zero,zero,baixo,baixo,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,alto,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,alto,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,baixo,baixo,zero,zero,alto,zero,baixo,zero,zero,alto,zero,zero,baixo,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,alto,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,alto,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,alto,baixo,zero,baixo,baixo,zero,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,alto,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,zero,zero,alto,baixo,baixo,zero,zero,alto,baixo,alto,zero,baixo,zero,baixo,baixo,alto,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,alto,alto,zero,zero,baixo,alto,zero,104
zero,zero,baixo,baixo,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,baixo,alto,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,alto,alto,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,baixo,baixo,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,alto,zero,baixo,zero,zero,alto,zero,zero,zero,zero,alto,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,baixo,zero,zero,zero,baixo,alto,zero,zero,zero,baixo,baixo,alto,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,alto,baixo,zero,zero,zero,zero,zero,alto,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,alto,baixo,zero,baixo,alto,baixo,baixo,zero,baixo,zero,baixo,zero,zero,zero,alto,baixo,alto,alto,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,baixo,alto,zero,alto,zero,zero,zero,baixo,zero,alto,baixo,baixo,zero,zero,baixo,baixo,baixo,baixo,alto,zero,baixo,baixo,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,baixo,zero,zero,baixo,zero,zero,104
zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,alto,zero,zero,zero,zero,zero,zero,baixo,zero,alto,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,baixo,baixo,zero,zero,zero,baixo,zero,baixo,alto,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,alto,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,baixo,zero,baixo,zero,zero,alto,zero,zero,baixo,baixo,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,zero,zero,zero,zero,alto,zero,baixo,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,baixo,baixo,zero,baixo,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,alto,baixo,256
zero,zero,zero,alto,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,alto,zero,zero,zero,zero,baixo,baixo,baixo,baixo,baixo,baixo,zero,zero,zero,alto,alto,zero,alto,zero,zero,zero,zero,alto,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,zero,baixo,baixo,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,zero,alto,baixo,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,alto,zero,baixo,baixo,zero,zero,zero,baixo,baixo,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,baixo,baixo,baixo,baixo,zero,alto,zero,baixo,zero,alto,zero,zero,zero,baixo,baixo,baixo,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,baixo,baixo,zero,baixo,baixo,baixo,alto,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,baixo,zero,104
zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,baixo,baixo,zero,baixo,baixo,baixo,zero,zero,zero,alto,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,alto,zero,zero,baixo,baixo,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,alto,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,alto,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,alto,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,alto,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,baixo,baixo,zero,baixo,zero,zero,baixo,zero,zero,baixo,zero,zero,alto,baixo,zero,alto,zero,zero,zero,baixo,zero,alto,zero,zero,zero,baixo,baixo,baixo,alto,zero,baixo,zero,zero,alto,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,baixo,baixo,zero,zero,156
baixo,zero,baixo,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,baixo,baixo,zero,zero,alto,baixo,zero,alto,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,alto,baixo,baixo,zero,zero,baixo,zero,baixo,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,alto,zero,baixo,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,alto,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,baixo,baixo,zero,zero,alto,zero,baixo,zero,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,alto,zero,alto,zero,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,zero,104
zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,baixo,zero,zero,zero,baixo,zero,zero,zero,alto,zero,zero,zero,zero,baixo,baixo,baixo,alto,baixo,zero,baixo,zero,zero,zero,baixo,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,baixo,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,baixo,baixo,zero,zero,zero,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,zero,zero,alto,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,zero,zero,baixo,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,zero,zero,zero,zero,zero,baixo,zero,zero,baixo,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,alto,zero,zero,zero,zero,zero,zero,zero,baixo,zero,baixo,zero,baixo,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,alto,baixo,baixo,baixo,zero,baixo,zero,baixo,zero,zero,zero,zero,alto,zero,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,zero,baixo,baixo,baixo,alto,zero,zero,baixo,zero,zero,alto,baixo,zero,zero,zero,zero,baixo,baixo,zero,baixo,baixo,alto,baixo,zero,zero,baixo,zero,zero,zero,zero,baixo,zero,baixo,baixo,zero,zero,baixo,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,baixo,baixo,zero,zero,zero,alto,zero,80
